pedido_id,data_pedido,loja,canal_aquisicao,n_itens,categoria_principal,receita_liquida,desconto_aplicado,cliente_id
PED001438,2025-08-20,Centro,CRM/Email,1,Bebidas Funcionais,12.21,0.0,CLI00385
PED001439,2025-08-07,Barra,CRM/Email,1,Barras e Snacks,19.91,0.01,CLI03243
PED001440,2025-08-04,Centro,CRM/Email,3,Bebidas Funcionais,306.79,0.07,CLI00071
PED001441,2025-08-05,Centro,Orgânico,1,Vitaminas,53.31,0.05,CLI04289
PED001442,2025-08-10,Shopping Norte,Instagram Ads,2,Barras e Snacks,30.55,0.05,CLI02722
PED001443,2025-08-16,Barra,Influencer,1,Bebidas Funcionais,10.78,0.06,CLI02032
PED001444,2025-08-07,Shopping Norte,Instagram Ads,4,Bebidas Funcionais,118.68,0.07,CLI04743
PED001445,2025-08-23,Centro,Busca Paga,4,Bebidas Funcionais,178.1,0.06,CLI03648
PED001446,2025-08-06,Barra,Busca Paga,1,Vitaminas,55.11,0.04,CLI02877
PED001447,2025-08-20,Shopping Norte,Orgânico,1,Vitaminas,44.24,0.07,CLI04374
PED001448,2025-08-10,Barra,Instagram Ads,2,Bebidas Funcionais,229.38,0.01,CLI03391
PED001449,2025-08-24,Shopping Norte,Orgânico,3,Whey Protein,550.39,0.07,CLI04808
PED001450,2025-08-11,Shopping Norte,Orgânico,3,Vitaminas,257.66,0.04,CLI01527
PED001451,2025-08-06,Barra,Instagram Ads,1,Creatina,144.07,0.06,CLI03009
PED001452,2025-08-22,Barra,CRM/Email,1,Whey Protein,153.14,0.05,CLI01040
PED001453,2025-08-12,Shopping Norte,Busca Paga,1,Whey Protein,166.08,0.08,CLI03496
PED001454,2025-08-20,Shopping Norte,Busca Paga,2,Creatina,291.17,0.02,CLI01690
PED001455,2025-08-11,Shopping Norte,CRM/Email,3,Barras e Snacks,200.44,0.06,CLI00351
PED001456,2025-08-22,Barra,Busca Paga,2,Whey Protein,333.13,0.02,CLI03949
PED001457,2025-08-19,Centro,Busca Paga,2,Whey Protein,187.68,0.06,CLI01206
PED001458,2025-08-10,Shopping Norte,Busca Paga,2,Bebidas Funcionais,168.32,0.03,CLI00748
PED001459,2025-08-07,Barra,Orgânico,2,Barras e Snacks,168.63,0.04,CLI03604
PED001460,2025-08-07,Shopping Norte,Busca Paga,3,Vitaminas,353.68,0.01,CLI00160
PED001461,2025-08-12,Centro,Busca Paga,2,Vitaminas,224.76,0.04,CLI02578
PED001462,2025-08-02,Shopping Norte,Orgânico,2,Whey Protein,300.54,0.02,CLI00708
PED001463,2025-08-23,Centro,CRM/Email,1,Bebidas Funcionais,13.7,0.02,CLI03540
PED001464,2025-08-08,Centro,Orgânico,2,Barras e Snacks,84.56,0.06,CLI03908
PED001465,2025-08-02,Centro,Orgânico,2,Whey Protein,318.09,0.01,CLI01718
PED001466,2025-08-22,Centro,Orgânico,3,Barras e Snacks,136.82,0.04,CLI03648
PED001467,2025-08-15,Barra,CRM/Email,3,Creatina,463.42,0.03,CLI00949
PED001468,2025-08-03,Centro,Orgânico,3,Whey Protein,348.83,0.08,CLI00229
PED001469,2025-08-26,Shopping Norte,Orgânico,2,Bebidas Funcionais,30.19,0.06,CLI01772
PED001470,2025-08-05,Centro,CRM/Email,3,Whey Protein,338.25,0.03,CLI03847
PED001471,2025-08-10,Shopping Norte,CRM/Email,2,Vitaminas,253.14,0.04,CLI02252
PED001472,2025-08-11,Barra,Instagram Ads,1,Bebidas Funcionais,13.8,0.02,CLI02647
PED001473,2025-08-15,Centro,Instagram Ads,2,Vitaminas,275.37,0.01,CLI01048
PED001474,2025-08-01,Shopping Norte,Orgânico,1,Vitaminas,65.38,0.02,CLI04706
PED001475,2025-08-27,Barra,Busca Paga,4,Creatina,460.44,0.05,CLI01126
PED001476,2025-08-20,Shopping Norte,Influencer,4,Creatina,519.92,0.05,CLI02423
PED001477,2025-08-07,Shopping Norte,CRM/Email,2,Whey Protein,168.89,0.01,CLI00514
PED001478,2025-08-26,Shopping Norte,Busca Paga,1,Whey Protein,155.72,0.02,CLI02221
PED001479,2025-08-10,Shopping Norte,Influencer,2,Creatina,192.7,0.01,CLI04455
PED001480,2025-08-24,Centro,Instagram Ads,1,Creatina,120.62,0.05,CLI01492
PED001481,2025-08-08,Centro,Busca Paga,1,Barras e Snacks,18.48,0.01,CLI02066
PED001482,2025-08-07,Centro,CRM/Email,2,Creatina,172.21,0.04,CLI01366
PED001483,2025-08-02,Shopping Norte,Busca Paga,1,Vitaminas,63.32,0.07,CLI02368
PED001484,2025-08-14,Shopping Norte,CRM/Email,1,Barras e Snacks,19.66,0.06,CLI03042
PED001485,2025-08-17,Centro,Orgânico,3,Bebidas Funcionais,249.48,0.05,CLI03490
PED001486,2025-08-15,Barra,Busca Paga,3,Barras e Snacks,153.7,0.08,CLI02272
PED001487,2025-08-18,Centro,Orgânico,3,Whey Protein,378.87,0.01,CLI01306
PED001488,2025-08-08,Centro,Orgânico,4,Bebidas Funcionais,289.99,0.02,CLI01101
PED001489,2025-08-04,Centro,Busca Paga,2,Barras e Snacks,128.81,0.07,CLI02372
PED001490,2025-08-09,Shopping Norte,Instagram Ads,4,Barras e Snacks,394.11,0.01,CLI03664
PED001491,2025-08-11,Shopping Norte,CRM/Email,1,Vitaminas,45.1,0.08,CLI03453
PED001492,2025-08-11,Barra,Orgânico,2,Creatina,150.22,0.01,CLI03743
PED001493,2025-08-26,Centro,Busca Paga,3,Bebidas Funcionais,252.82,0.01,CLI00976
PED001494,2025-08-15,Barra,Busca Paga,1,Creatina,141.14,0.07,CLI02650
PED001495,2025-08-03,Centro,Busca Paga,1,Creatina,139.35,0.07,CLI02091
PED001496,2025-08-05,Shopping Norte,Orgânico,2,Whey Protein,311.06,0.03,CLI00685
PED001497,2025-08-13,Shopping Norte,Orgânico,4,Barras e Snacks,297.94,0.08,CLI00605
PED001498,2025-08-25,Shopping Norte,Orgânico,3,Whey Protein,275.28,0.05,CLI04140
PED001499,2025-08-17,Centro,Busca Paga,3,Barras e Snacks,258.37,0.08,CLI01074
PED001500,2025-08-09,Shopping Norte,Instagram Ads,4,Bebidas Funcionais,178.6,0.04,CLI03512
PED001501,2025-08-25,Centro,Orgânico,3,Vitaminas,190.29,0.07,CLI02448
PED001502,2025-08-10,Shopping Norte,Orgânico,4,Whey Protein,467.75,0.03,CLI03537
PED001503,2025-08-17,Centro,Orgânico,1,Creatina,124.05,0.03,CLI02826
PED001504,2025-08-09,Centro,Orgânico,1,Vitaminas,48.54,0.05,CLI02546
PED001505,2025-08-06,Shopping Norte,Busca Paga,4,Vitaminas,179.83,0.0,CLI01699
PED001506,2025-08-13,Centro,Busca Paga,3,Barras e Snacks,178.13,0.02,CLI03690
PED001507,2025-08-01,Barra,Instagram Ads,3,Vitaminas,183.41,0.03,CLI03528
PED001508,2025-08-16,Barra,Instagram Ads,3,Whey Protein,425.13,0.04,CLI03769
PED001509,2025-08-22,Shopping Norte,Influencer,4,Whey Protein,280.33,0.06,CLI00360
PED001510,2025-08-10,Shopping Norte,CRM/Email,2,Creatina,274.08,0.04,CLI00096
PED001511,2025-08-07,Barra,Influencer,1,Whey Protein,202.82,0.04,CLI02807
PED001512,2025-08-15,Centro,Influencer,4,Whey Protein,524.82,0.0,CLI01572
PED001513,2025-08-27,Shopping Norte,Busca Paga,2,Barras e Snacks,74.13,0.04,CLI02476
PED001514,2025-08-17,Centro,Orgânico,2,Vitaminas,72.42,0.05,CLI01275
PED001515,2025-08-20,Centro,Orgânico,1,Bebidas Funcionais,11.92,0.01,CLI03565
PED001516,2025-08-17,Shopping Norte,Instagram Ads,2,Creatina,240.78,0.03,CLI00886
PED001517,2025-08-20,Centro,Orgânico,1,Whey Protein,216.7,0.02,CLI01820
PED001518,2025-08-12,Barra,Instagram Ads,4,Barras e Snacks,152.64,0.05,CLI00863
PED001519,2025-08-09,Shopping Norte,Busca Paga,4,Creatina,383.78,0.01,CLI04796
PED001520,2025-08-13,Centro,Instagram Ads,3,Creatina,379.77,0.03,CLI01773
PED001521,2025-08-09,Barra,Orgânico,3,Creatina,198.27,0.07,CLI02166
PED001522,2025-08-03,Centro,Orgânico,4,Barras e Snacks,514.21,0.03,CLI00622
PED001523,2025-08-02,Shopping Norte,Busca Paga,3,Barras e Snacks,136.27,0.01,CLI02006
PED001524,2025-08-02,Centro,CRM/Email,4,Bebidas Funcionais,312.68,0.04,CLI04282
PED001525,2025-08-17,Shopping Norte,Instagram Ads,1,Whey Protein,206.12,0.03,CLI03255
PED001526,2025-08-03,Barra,Busca Paga,2,Creatina,272.22,0.07,CLI02457
PED001527,2025-08-14,Barra,Orgânico,3,Whey Protein,342.82,0.05,CLI03291
PED001528,2025-08-04,Centro,Orgânico,2,Vitaminas,65.3,0.08,CLI04241
PED001529,2025-08-19,Centro,CRM/Email,1,Creatina,134.91,0.0,CLI01360
PED001530,2025-08-16,Centro,Instagram Ads,2,Vitaminas,147.29,0.06,CLI00882
PED001531,2025-08-17,Centro,Orgânico,3,Vitaminas,166.46,0.06,CLI02476
PED001532,2025-08-06,Shopping Norte,Orgânico,4,Creatina,269.75,0.06,CLI03128
PED001533,2025-08-04,Shopping Norte,Orgânico,1,Creatina,145.33,0.02,CLI03942
PED001534,2025-08-25,Centro,Influencer,4,Whey Protein,548.3,0.04,CLI00133
PED001535,2025-08-12,Barra,Orgânico,1,Whey Protein,223.81,0.0,CLI02945
PED001536,2025-08-20,Shopping Norte,Instagram Ads,1,Creatina,134.84,0.03,CLI03743
PED001537,2025-08-11,Shopping Norte,Busca Paga,3,Whey Protein,342.72,0.02,CLI01928
PED001538,2025-08-16,Shopping Norte,Orgânico,2,Barras e Snacks,228.57,0.0,CLI03832
PED001539,2025-08-11,Centro,Orgânico,1,Vitaminas,47.08,0.04,CLI02928
PED001540,2025-08-03,Shopping Norte,Orgânico,3,Vitaminas,325.55,0.01,CLI04358
PED001541,2025-08-08,Centro,CRM/Email,2,Whey Protein,223.63,0.01,CLI02577
PED001542,2025-08-17,Barra,Instagram Ads,3,Creatina,321.84,0.01,CLI04355
PED001543,2025-08-02,Shopping Norte,Busca Paga,3,Barras e Snacks,162.92,0.04,CLI03423
PED001544,2025-08-25,Shopping Norte,Orgânico,4,Vitaminas,237.83,0.0,CLI04488
PED001545,2025-08-16,Shopping Norte,Orgânico,3,Vitaminas,415.43,0.0,CLI00340
PED001546,2025-08-24,Centro,Busca Paga,3,Vitaminas,311.56,0.03,CLI01225
PED001547,2025-08-27,Centro,Busca Paga,2,Bebidas Funcionais,76.41,0.01,CLI04431
PED001548,2025-08-03,Shopping Norte,Instagram Ads,3,Creatina,337.25,0.04,CLI03515
PED001549,2025-08-06,Barra,CRM/Email,1,Vitaminas,63.27,0.05,CLI00491
PED001550,2025-08-12,Shopping Norte,Busca Paga,1,Barras e Snacks,14.95,0.07,CLI01135
PED001551,2025-08-22,Shopping Norte,Orgânico,3,Barras e Snacks,147.25,0.02,CLI02647
PED001552,2025-08-01,Centro,Instagram Ads,2,Vitaminas,236.87,0.01,CLI00680
PED001553,2025-08-23,Shopping Norte,Orgânico,3,Creatina,258.82,0.01,CLI01923
PED001554,2025-08-07,Shopping Norte,Orgânico,1,Creatina,135.42,0.01,CLI03689
PED001555,2025-08-10,Barra,Busca Paga,2,Bebidas Funcionais,119.31,0.0,CLI04136
PED001556,2025-08-06,Centro,CRM/Email,1,Barras e Snacks,19.16,0.07,CLI03323
PED001557,2025-08-17,Centro,Busca Paga,3,Vitaminas,162.87,0.01,CLI01939
PED001558,2025-08-27,Shopping Norte,Instagram Ads,1,Barras e Snacks,19.03,0.02,CLI03391
PED001559,2025-08-21,Shopping Norte,Orgânico,1,Vitaminas,56.9,0.07,CLI03672
PED001560,2025-08-20,Shopping Norte,Busca Paga,2,Creatina,295.59,0.08,CLI01277
PED001561,2025-08-20,Centro,Orgânico,1,Whey Protein,217.37,0.02,CLI03748
PED001562,2025-08-13,Centro,Orgânico,2,Whey Protein,259.97,0.07,CLI04452
PED001563,2025-08-27,Shopping Norte,CRM/Email,2,Whey Protein,235.01,0.0,CLI01540
PED001564,2025-08-16,Barra,Busca Paga,2,Whey Protein,314.35,0.01,CLI00016
PED001565,2025-08-21,Centro,Busca Paga,2,Whey Protein,441.9,0.0,CLI01895
PED001566,2025-08-25,Centro,Busca Paga,2,Whey Protein,176.0,0.01,CLI02797
PED001567,2025-08-27,Barra,CRM/Email,2,Vitaminas,173.66,0.04,CLI00666
PED001568,2025-08-17,Barra,CRM/Email,3,Bebidas Funcionais,165.77,0.01,CLI00957
PED001569,2025-08-15,Shopping Norte,CRM/Email,2,Bebidas Funcionais,138.02,0.06,CLI03413
PED001570,2025-08-21,Barra,CRM/Email,4,Whey Protein,214.42,0.07,CLI04287
PED001571,2025-08-14,Shopping Norte,Busca Paga,2,Creatina,340.07,0.03,CLI01281
PED001572,2025-08-18,Shopping Norte,Orgânico,3,Bebidas Funcionais,157.5,0.06,CLI02738
PED001573,2025-08-16,Shopping Norte,Orgânico,2,Bebidas Funcionais,136.18,0.02,CLI01329
PED001574,2025-08-05,Barra,Orgânico,2,Creatina,291.77,0.01,CLI04185
PED001575,2025-08-01,Centro,Instagram Ads,3,Whey Protein,194.52,0.06,CLI03827
PED001576,2025-08-23,Centro,Busca Paga,4,Creatina,277.63,0.08,CLI00694
PED001577,2025-08-27,Centro,Busca Paga,1,Vitaminas,51.58,0.07,CLI00376
PED001578,2025-08-01,Centro,Orgânico,1,Vitaminas,51.9,0.02,CLI04688
PED001579,2025-08-22,Centro,Busca Paga,2,Barras e Snacks,81.3,0.08,CLI02571
PED001580,2025-08-08,Centro,Orgânico,2,Whey Protein,373.84,0.04,CLI04215
PED001581,2025-08-23,Centro,Orgânico,2,Creatina,128.17,0.0,CLI00931
PED001582,2025-08-06,Centro,Orgânico,3,Bebidas Funcionais,158.71,0.02,CLI02787
PED001583,2025-08-19,Shopping Norte,CRM/Email,2,Bebidas Funcionais,142.28,0.07,CLI01649
PED001584,2025-08-24,Barra,Busca Paga,1,Creatina,131.57,0.03,CLI01761
PED001585,2025-08-06,Centro,Influencer,1,Bebidas Funcionais,10.98,0.08,CLI01690
PED001586,2025-08-04,Barra,CRM/Email,2,Bebidas Funcionais,22.3,0.04,CLI02543
PED001587,2025-08-20,Shopping Norte,Instagram Ads,1,Whey Protein,189.14,0.02,CLI01675
PED001588,2025-08-04,Barra,Influencer,4,Creatina,424.83,0.07,CLI02065
PED001589,2025-08-09,Centro,Orgânico,4,Creatina,597.18,0.02,CLI04955
PED001590,2025-08-07,Shopping Norte,Orgânico,2,Barras e Snacks,218.34,0.05,CLI00834
PED001591,2025-08-12,Centro,Orgânico,4,Whey Protein,467.58,0.03,CLI03018
PED001592,2025-08-17,Shopping Norte,Busca Paga,3,Bebidas Funcionais,37.98,0.03,CLI03534
PED001593,2025-08-17,Centro,Orgânico,1,Barras e Snacks,14.5,0.01,CLI03622
PED001594,2025-08-15,Centro,Orgânico,2,Whey Protein,210.81,0.04,CLI04605
PED001595,2025-08-04,Shopping Norte,Orgânico,4,Creatina,418.85,0.05,CLI01927
PED001596,2025-08-20,Shopping Norte,Busca Paga,1,Barras e Snacks,19.36,0.04,CLI00017
PED001597,2025-08-25,Shopping Norte,Influencer,2,Vitaminas,226.96,0.07,CLI00525
PED001598,2025-08-08,Centro,Orgânico,1,Vitaminas,55.96,0.07,CLI03183
PED001599,2025-08-09,Barra,Orgânico,2,Whey Protein,226.75,0.08,CLI04550
PED001600,2025-08-19,Centro,Busca Paga,3,Barras e Snacks,340.64,0.02,CLI03294
PED001601,2025-08-05,Shopping Norte,Instagram Ads,2,Vitaminas,104.12,0.02,CLI00569
PED001602,2025-08-21,Shopping Norte,Orgânico,1,Whey Protein,186.24,0.02,CLI04095
PED001603,2025-08-25,Shopping Norte,Orgânico,4,Bebidas Funcionais,205.26,0.02,CLI00108
PED001604,2025-08-15,Centro,CRM/Email,2,Bebidas Funcionais,24.15,0.03,CLI01856
PED001605,2025-08-12,Shopping Norte,Instagram Ads,4,Creatina,539.48,0.03,CLI02718
PED001606,2025-08-14,Centro,CRM/Email,2,Barras e Snacks,140.12,0.02,CLI04853
PED001607,2025-08-26,Shopping Norte,Instagram Ads,2,Whey Protein,225.07,0.06,CLI01438
PED001608,2025-08-11,Centro,Orgânico,4,Whey Protein,633.92,0.01,CLI00202
PED001609,2025-08-21,Centro,Instagram Ads,2,Vitaminas,236.43,0.03,CLI02660
PED001610,2025-08-17,Shopping Norte,Instagram Ads,3,Whey Protein,400.27,0.07,CLI03622
PED001611,2025-08-04,Centro,Busca Paga,2,Vitaminas,206.39,0.04,CLI02208
PED001612,2025-08-27,Centro,CRM/Email,2,Whey Protein,210.05,0.04,CLI02813
PED001613,2025-08-10,Shopping Norte,CRM/Email,2,Barras e Snacks,34.98,0.02,CLI00103
PED001614,2025-08-15,Barra,Busca Paga,2,Whey Protein,265.75,0.07,CLI00188
PED001615,2025-08-10,Barra,Orgânico,2,Barras e Snacks,176.6,0.0,CLI01553
PED001616,2025-08-05,Shopping Norte,Orgânico,1,Vitaminas,66.74,0.0,CLI00028
PED001617,2025-08-14,Shopping Norte,Busca Paga,1,Creatina,138.93,0.01,CLI02076
PED001618,2025-08-12,Shopping Norte,Busca Paga,3,Whey Protein,407.74,0.05,CLI01843
PED001619,2025-08-27,Shopping Norte,Instagram Ads,1,Creatina,104.39,0.06,CLI04980
PED001620,2025-08-03,Centro,Busca Paga,1,Creatina,105.47,0.03,CLI01877
PED001621,2025-08-07,Centro,Instagram Ads,4,Creatina,304.73,0.02,CLI02017
PED001622,2025-08-01,Shopping Norte,Busca Paga,2,Creatina,182.24,0.02,CLI02298
PED001623,2025-08-14,Centro,Busca Paga,2,Whey Protein,297.61,0.08,CLI03443
PED001624,2025-08-19,Barra,Orgânico,1,Vitaminas,62.59,0.06,CLI03372
PED001625,2025-08-20,Barra,Influencer,2,Creatina,268.82,0.02,CLI01918
PED001626,2025-08-07,Shopping Norte,Orgânico,2,Creatina,171.91,0.01,CLI04229
PED001627,2025-08-10,Shopping Norte,Busca Paga,2,Whey Protein,262.38,0.02,CLI04091
PED001628,2025-08-09,Shopping Norte,Busca Paga,3,Bebidas Funcionais,320.29,0.08,CLI02279
PED001629,2025-08-02,Centro,Instagram Ads,3,Whey Protein,374.51,0.07,CLI02075
PED001630,2025-08-04,Centro,Busca Paga,2,Creatina,137.26,0.05,CLI01635
PED001631,2025-08-10,Barra,Orgânico,2,Whey Protein,345.63,0.02,CLI02599
PED001632,2025-08-16,Barra,Busca Paga,2,Creatina,163.28,0.02,CLI00988
PED001633,2025-08-19,Centro,Busca Paga,4,Vitaminas,223.07,0.04,CLI03394
PED001634,2025-08-18,Shopping Norte,Influencer,1,Creatina,139.86,0.04,CLI00004
PED001635,2025-08-05,Centro,Orgânico,3,Whey Protein,353.28,0.04,CLI02941
PED001636,2025-08-10,Centro,Busca Paga,1,Creatina,137.01,0.08,CLI03338
PED001637,2025-08-24,Shopping Norte,Influencer,2,Whey Protein,203.26,0.07,CLI02082
PED001638,2025-08-06,Shopping Norte,Orgânico,3,Creatina,302.32,0.08,CLI01634
PED001639,2025-08-11,Barra,Busca Paga,3,Vitaminas,88.44,0.01,CLI03535
PED001640,2025-08-24,Shopping Norte,CRM/Email,2,Whey Protein,319.56,0.03,CLI01631
PED001641,2025-08-15,Shopping Norte,Busca Paga,4,Whey Protein,521.78,0.01,CLI01675
PED001642,2025-08-05,Shopping Norte,Orgânico,4,Bebidas Funcionais,576.47,0.04,CLI03510
PED001643,2025-08-13,Centro,Busca Paga,3,Vitaminas,343.11,0.02,CLI03837
PED001644,2025-08-11,Shopping Norte,Orgânico,2,Vitaminas,74.29,0.06,CLI00240
PED001645,2025-08-19,Centro,Orgânico,4,Barras e Snacks,340.08,0.04,CLI01257
PED001646,2025-08-19,Shopping Norte,Orgânico,3,Creatina,292.91,0.03,CLI00196
PED001647,2025-08-18,Shopping Norte,Busca Paga,4,Bebidas Funcionais,467.95,0.08,CLI00252
PED001648,2025-08-04,Centro,CRM/Email,1,Vitaminas,55.26,0.07,CLI01944
PED001649,2025-08-09,Shopping Norte,Instagram Ads,1,Whey Protein,152.57,0.01,CLI02418
PED001650,2025-08-20,Shopping Norte,Busca Paga,3,Creatina,188.31,0.03,CLI02493
PED001651,2025-08-17,Barra,Orgânico,2,Vitaminas,190.52,0.04,CLI03510
PED001652,2025-08-15,Centro,Orgânico,3,Bebidas Funcionais,336.53,0.01,CLI04068
PED001653,2025-08-15,Barra,Orgânico,4,Whey Protein,615.37,0.02,CLI02606
PED001654,2025-08-14,Shopping Norte,Orgânico,3,Creatina,304.3,0.0,CLI04473
PED001655,2025-08-17,Centro,Orgânico,2,Whey Protein,324.24,0.07,CLI03419
PED001656,2025-08-19,Shopping Norte,Busca Paga,2,Whey Protein,387.42,0.05,CLI01876
PED001657,2025-08-17,Barra,Busca Paga,2,Vitaminas,71.44,0.08,CLI03971
PED001658,2025-08-20,Centro,Instagram Ads,3,Bebidas Funcionais,138.02,0.06,CLI01259
PED001659,2025-08-13,Shopping Norte,CRM/Email,3,Barras e Snacks,341.57,0.05,CLI02493
PED001660,2025-08-07,Barra,Busca Paga,3,Vitaminas,223.5,0.0,CLI01157
PED001661,2025-08-20,Barra,Orgânico,3,Whey Protein,244.44,0.03,CLI03203
PED001662,2025-08-02,Centro,Busca Paga,2,Barras e Snacks,126.38,0.03,CLI01493
PED001663,2025-08-26,Shopping Norte,Busca Paga,4,Creatina,381.09,0.05,CLI04836
PED001664,2025-08-23,Shopping Norte,Orgânico,4,Creatina,522.5,0.07,CLI03010
PED001665,2025-08-06,Shopping Norte,CRM/Email,1,Barras e Snacks,15.9,0.04,CLI04768
PED001666,2025-08-11,Shopping Norte,CRM/Email,1,Barras e Snacks,16.23,0.04,CLI03664
PED001667,2025-08-18,Barra,Instagram Ads,4,Bebidas Funcionais,568.45,0.02,CLI03559
PED001668,2025-08-18,Centro,Instagram Ads,2,Vitaminas,110.24,0.06,CLI02560
PED001669,2025-08-10,Centro,Busca Paga,1,Vitaminas,63.79,0.04,CLI02356
PED001670,2025-08-15,Barra,Influencer,1,Bebidas Funcionais,12.1,0.04,CLI01424
PED001671,2025-08-15,Shopping Norte,Orgânico,4,Creatina,377.45,0.03,CLI03624
PED001672,2025-08-11,Shopping Norte,Influencer,2,Barras e Snacks,117.26,0.07,CLI04829
PED001673,2025-08-22,Shopping Norte,CRM/Email,2,Whey Protein,211.61,0.01,CLI02729
PED001674,2025-08-25,Centro,CRM/Email,1,Bebidas Funcionais,11.43,0.04,CLI03554
PED001675,2025-08-14,Shopping Norte,Busca Paga,4,Vitaminas,433.85,0.0,CLI00310
PED001676,2025-08-03,Barra,Instagram Ads,2,Vitaminas,155.93,0.05,CLI01829
PED001677,2025-08-13,Barra,Influencer,3,Whey Protein,264.19,0.06,CLI02563
PED001678,2025-08-02,Barra,Influencer,2,Vitaminas,77.37,0.04,CLI03487
PED001679,2025-08-18,Centro,Instagram Ads,3,Creatina,458.29,0.01,CLI02304
PED001680,2025-08-06,Shopping Norte,Orgânico,2,Whey Protein,368.18,0.0,CLI02996
PED001681,2025-08-24,Barra,Influencer,2,Whey Protein,343.59,0.03,CLI02462
PED001682,2025-08-16,Shopping Norte,Busca Paga,4,Vitaminas,592.29,0.07,CLI04507
PED001683,2025-08-07,Shopping Norte,Busca Paga,2,Whey Protein,277.7,0.04,CLI04699
PED001684,2025-08-10,Centro,Orgânico,3,Vitaminas,332.14,0.05,CLI04991
PED001685,2025-08-19,Shopping Norte,Orgânico,3,Whey Protein,474.29,0.0,CLI00051
PED001686,2025-08-22,Centro,Orgânico,3,Bebidas Funcionais,182.63,0.02,CLI00946
PED001687,2025-08-26,Centro,Busca Paga,1,Barras e Snacks,17.19,0.03,CLI04159
PED001688,2025-08-12,Shopping Norte,Busca Paga,2,Whey Protein,213.22,0.05,CLI00598
PED001689,2025-08-07,Shopping Norte,CRM/Email,2,Barras e Snacks,32.25,0.06,CLI02039
PED001690,2025-08-12,Shopping Norte,Instagram Ads,1,Bebidas Funcionais,10.75,0.05,CLI02641
PED001691,2025-08-15,Centro,Orgânico,1,Vitaminas,69.18,0.01,CLI00194
PED001692,2025-08-18,Centro,CRM/Email,3,Barras e Snacks,50.43,0.05,CLI02398
PED001693,2025-08-05,Shopping Norte,Instagram Ads,1,Vitaminas,45.13,0.05,CLI02947
PED001694,2025-08-09,Barra,Busca Paga,2,Whey Protein,307.04,0.04,CLI01632
PED001695,2025-08-27,Shopping Norte,Influencer,3,Creatina,224.69,0.06,CLI04088
PED001696,2025-08-09,Centro,CRM/Email,3,Vitaminas,397.68,0.03,CLI00361
PED001697,2025-08-08,Shopping Norte,Busca Paga,2,Whey Protein,301.22,0.04,CLI01864
PED001698,2025-08-20,Shopping Norte,Orgânico,1,Bebidas Funcionais,11.96,0.04,CLI02253
PED001699,2025-08-10,Shopping Norte,Influencer,2,Barras e Snacks,78.2,0.02,CLI00038
PED001700,2025-08-12,Centro,CRM/Email,2,Barras e Snacks,75.39,0.04,CLI01395
PED001701,2025-08-14,Shopping Norte,Busca Paga,1,Vitaminas,64.77,0.01,CLI01000
PED001702,2025-08-24,Barra,CRM/Email,2,Creatina,257.44,0.02,CLI00620
PED001703,2025-08-21,Centro,Orgânico,1,Whey Protein,205.35,0.0,CLI00837
PED001704,2025-08-07,Centro,CRM/Email,2,Creatina,252.93,0.05,CLI00805
PED001705,2025-08-10,Shopping Norte,Influencer,2,Bebidas Funcionais,26.35,0.05,CLI02421
PED001706,2025-08-04,Shopping Norte,Instagram Ads,1,Whey Protein,162.84,0.0,CLI02338
PED001707,2025-08-22,Shopping Norte,Busca Paga,2,Barras e Snacks,182.96,0.07,CLI03536
PED001708,2025-08-02,Centro,Instagram Ads,1,Whey Protein,195.35,0.0,CLI01489
PED001709,2025-08-02,Centro,Orgânico,1,Barras e Snacks,18.1,0.03,CLI02291
PED001710,2025-08-27,Shopping Norte,Orgânico,2,Vitaminas,250.64,0.08,CLI01624
PED001711,2025-08-08,Shopping Norte,Busca Paga,1,Bebidas Funcionais,12.14,0.03,CLI02949
PED001712,2025-08-04,Shopping Norte,Instagram Ads,2,Whey Protein,334.6,0.04,CLI02450
PED001713,2025-08-14,Centro,Instagram Ads,4,Creatina,701.33,0.08,CLI04203
PED001714,2025-08-16,Centro,Orgânico,3,Barras e Snacks,151.63,0.05,CLI04544
PED001715,2025-08-23,Centro,CRM/Email,2,Creatina,139.41,0.01,CLI00072
PED001716,2025-08-20,Shopping Norte,Orgânico,2,Whey Protein,300.14,0.01,CLI00724
PED001717,2025-08-02,Shopping Norte,Instagram Ads,4,Creatina,476.74,0.03,CLI02766
PED001718,2025-08-04,Shopping Norte,Busca Paga,2,Bebidas Funcionais,29.98,0.01,CLI01808
PED001719,2025-08-13,Shopping Norte,Orgânico,4,Bebidas Funcionais,391.01,0.02,CLI00017
PED001720,2025-08-12,Centro,Orgânico,1,Vitaminas,55.91,0.05,CLI03084
PED001721,2025-08-21,Centro,Orgânico,1,Creatina,130.54,0.01,CLI01714
PED001722,2025-08-18,Shopping Norte,Influencer,1,Whey Protein,197.67,0.03,CLI03710
PED001723,2025-08-17,Centro,CRM/Email,3,Whey Protein,223.64,0.07,CLI02289
PED001724,2025-08-16,Shopping Norte,Influencer,2,Vitaminas,63.96,0.02,CLI04011
PED001725,2025-08-13,Centro,Influencer,3,Whey Protein,501.2,0.03,CLI03370
PED001726,2025-08-16,Centro,Orgânico,1,Barras e Snacks,17.41,0.04,CLI01029
PED001727,2025-08-09,Barra,CRM/Email,1,Bebidas Funcionais,13.43,0.0,CLI04050
PED001728,2025-08-18,Barra,Orgânico,1,Vitaminas,48.56,0.01,CLI00462
