ticket_id,shipment_id,created_at,region,topic,priority,first_response_hours,resolution_hours,first_response_sla_hours,sla_status,csat
TKT-00218,SHP-00087,2026-07-16 00:55:47.719683644,Centro-Oeste,Atraso,Média,3.47,21.45,8,Dentro,2
TKT-00219,SHP-00056,2026-07-31 19:12:08.218698493,Nordeste,Reentrega,Baixa,13.5,51.57,16,Dentro,4
TKT-00220,SHP-00395,2026-07-10 02:53:07.324578381,Sul,Endereço,Média,7.61,38.08,8,Dentro,3
TKT-00221,SHP-00451,2026-06-27 01:46:32.990775450,Centro-Oeste,Endereço,Alta,0.2,41.9,4,Dentro,5
TKT-00222,SHP-00226,2026-07-30 11:47:58.719914046,Nordeste,Reembolso,Média,10.07,52.88,8,Fora,4
TKT-00223,SHP-00427,2026-07-19 00:27:59.331849871,Sul,Reembolso,Baixa,14.07,56.47,16,Dentro,4
TKT-00224,SHP-00505,2026-06-30 17:16:47.968730256,Centro-Oeste,Reentrega,Média,8.58,38.73,8,Fora,3
TKT-00225,SHP-00506,2026-07-01 09:40:28.396607275,Sudeste,Onde está meu pedido?,Baixa,4.13,34.08,16,Dentro,4
TKT-00226,SHP-00863,2026-06-08 09:02:16.681787733,Nordeste,Atraso,Baixa,13.72,27.86,16,Dentro,4
TKT-00227,SHP-00367,2026-07-05 10:51:01.411397393,Centro-Oeste,Reembolso,Baixa,11.95,30.35,16,Dentro,4
TKT-00228,SHP-00777,2026-07-15 09:29:08.183653873,Sudeste,Atraso,Alta,9.2,11.04,4,Fora,2
TKT-00229,SHP-00752,2026-07-15 10:24:01.544729525,Nordeste,Reentrega,Baixa,10.63,63.99,16,Dentro,4
TKT-00230,SHP-00657,2026-07-11 18:42:04.604212493,Nordeste,Endereço,Média,7.02,30.03,8,Dentro,5
TKT-00231,SHP-00864,2026-06-12 00:00:37.931940400,Centro-Oeste,Endereço,Alta,1.33,16.07,4,Dentro,5
TKT-00232,SHP-00010,2026-07-20 10:13:10.487399689,Centro-Oeste,Reentrega,Média,1.89,22.69,8,Dentro,5
TKT-00233,SHP-00095,2026-07-12 01:56:43.650447720,Sudeste,Endereço,Média,8.02,39.92,8,Fora,2
TKT-00234,SHP-00317,2026-06-24 08:10:38.822583181,Nordeste,Onde está meu pedido?,Média,19.62,33.95,8,Fora,3
TKT-00235,SHP-00623,2026-07-07 12:57:22.323257054,Centro-Oeste,Endereço,Alta,11.91,31.87,4,Fora,3
TKT-00236,SHP-00372,2026-07-29 00:28:30.315973539,Sudeste,Endereço,Baixa,8.73,0.5,16,Dentro,5
TKT-00237,SHP-00457,2026-06-19 14:41:49.302112358,Nordeste,Atraso,Média,9.36,39.71,8,Fora,3
TKT-00238,SHP-00627,2026-07-15 10:12:25.221223994,Sudeste,Onde está meu pedido?,Média,4.91,20.54,8,Dentro,4
TKT-00239,SHP-00049,2026-06-20 13:46:49.157559903,Sudeste,Reentrega,Baixa,7.24,9.54,16,Dentro,5
TKT-00240,SHP-00467,2026-07-24 02:02:47.314816548,Nordeste,Endereço,Baixa,14.86,49.66,16,Dentro,4
TKT-00241,SHP-00795,2026-08-02 11:13:02.947523986,Sul,Avaria,Média,9.84,40.69,8,Fora,4
TKT-00242,SHP-00569,2026-07-16 08:02:31.094129935,Nordeste,Reentrega,Baixa,11.02,29.58,16,Dentro,4
TKT-00243,SHP-00057,2026-07-20 14:53:57.885697591,Sul,Atraso,Alta,5.58,0.5,4,Fora,2
TKT-00244,SHP-00584,2026-06-30 04:02:26.932813637,Centro-Oeste,Atraso,Média,6.27,20.6,8,Dentro,4
TKT-00245,SHP-00127,2026-07-19 01:54:17.291259043,Nordeste,Reembolso,Baixa,9.37,20.09,16,Dentro,3
TKT-00246,SHP-00633,2026-06-19 21:11:32.982258993,Nordeste,Avaria,Alta,2.11,39.64,4,Dentro,5
TKT-00247,SHP-00134,2026-06-25 21:08:39.608037224,Sudeste,Reentrega,Alta,2.03,15.96,4,Dentro,3
TKT-00248,SHP-00553,2026-06-22 01:30:39.574480087,Nordeste,Onde está meu pedido?,Média,1.98,31.34,8,Dentro,2
TKT-00249,SHP-00140,2026-07-09 09:59:15.614709445,Centro-Oeste,Endereço,Alta,1.47,23.16,4,Dentro,4
TKT-00250,SHP-00692,2026-07-31 02:32:02.884492637,Centro-Oeste,Endereço,Alta,1.8,46.75,4,Dentro,5
TKT-00251,SHP-00586,2026-07-25 12:48:43.904799018,Nordeste,Atraso,Baixa,12.16,10.08,16,Dentro,3
TKT-00252,SHP-00067,2026-06-11 22:20:42.623873837,Sudeste,Atraso,Baixa,6.27,44.2,16,Dentro,4
TKT-00253,SHP-00464,2026-08-02 20:22:58.172861658,Centro-Oeste,Atraso,Média,4.51,30.7,8,Dentro,4
TKT-00254,SHP-00290,2026-07-13 00:36:56.239226123,Centro-Oeste,Avaria,Média,4.01,34.29,8,Dentro,4
TKT-00255,SHP-00710,2026-07-03 05:02:56.722060926,Centro-Oeste,Reembolso,Média,5.25,19.96,8,Dentro,4
TKT-00256,SHP-00331,2026-06-06 16:16:40.857756080,Sudeste,Onde está meu pedido?,Média,6.53,45.64,8,Dentro,4
TKT-00257,SHP-00809,2026-06-28 18:57:13.889252383,Centro-Oeste,Reembolso,Média,5.89,31.26,8,Dentro,5
TKT-00258,SHP-00787,2026-07-31 11:10:10.009793490,Nordeste,Atraso,Média,3.46,15.0,8,Dentro,2
TKT-00259,SHP-00360,2026-07-23 13:35:09.498020470,Nordeste,Reembolso,Baixa,10.56,42.67,16,Dentro,5
TKT-00260,SHP-00138,2026-07-26 13:58:39.051947193,Sudeste,Avaria,Alta,0.2,0.5,4,Dentro,3
TKT-00261,SHP-00112,2026-06-29 17:53:41.170069112,Sul,Avaria,Média,6.2,45.92,8,Dentro,5
TKT-00262,SHP-00210,2026-06-26 01:05:09.296236437,Centro-Oeste,Avaria,Baixa,9.32,27.33,16,Dentro,4
TKT-00263,SHP-00626,2026-06-11 19:27:11.250585617,Nordeste,Reembolso,Baixa,0.2,26.07,16,Dentro,4
TKT-00264,SHP-00467,2026-07-23 22:14:28.062995460,Nordeste,Atraso,Média,0.21,31.88,8,Dentro,4
TKT-00265,SHP-00439,2026-06-03 10:56:27.211419833,Sudeste,Reentrega,Alta,5.6,12.01,4,Fora,2
TKT-00266,SHP-00526,2026-06-21 02:20:05.712971843,Centro-Oeste,Avaria,Média,4.27,24.95,8,Dentro,5
TKT-00267,SHP-00208,2026-07-01 14:22:35.402357278,Centro-Oeste,Endereço,Média,9.08,6.85,8,Fora,4
TKT-00268,SHP-00809,2026-06-29 02:27:19.331144238,Centro-Oeste,Endereço,Baixa,8.56,32.93,16,Dentro,5
TKT-00269,SHP-00520,2026-06-06 05:48:15.330301040,Sudeste,Endereço,Baixa,0.68,9.02,16,Dentro,3
TKT-00270,SHP-00449,2026-07-10 05:11:22.685634935,Centro-Oeste,Avaria,Alta,7.09,9.19,4,Fora,4
TKT-00271,SHP-00386,2026-08-01 01:19:58.824483500,Sudeste,Avaria,Média,10.68,34.3,8,Fora,3
TKT-00272,SHP-00249,2026-07-03 22:40:33.902842873,Sul,Reentrega,Baixa,3.59,27.72,16,Dentro,4
TKT-00273,SHP-00634,2026-06-22 09:13:54.649055538,Centro-Oeste,Atraso,Baixa,0.98,54.72,16,Dentro,3
TKT-00274,SHP-00764,2026-07-26 13:22:02.148934527,Sudeste,Reembolso,Média,8.4,26.83,8,Fora,4
TKT-00275,SHP-00411,2026-06-02 23:50:24.117692110,Sudeste,Reembolso,Média,12.91,35.16,8,Fora,4
TKT-00276,SHP-00291,2026-06-30 02:15:25.311729691,Sul,Onde está meu pedido?,Alta,1.26,3.66,4,Dentro,4
TKT-00277,SHP-00598,2026-07-24 13:11:09.798335802,Centro-Oeste,Reentrega,Média,8.21,12.61,8,Fora,2
TKT-00278,SHP-00780,2026-07-15 11:01:15.324766966,Nordeste,Reembolso,Alta,13.0,0.5,4,Fora,5
TKT-00279,SHP-00381,2026-07-20 18:34:17.333719238,Sul,Reentrega,Alta,6.31,13.61,4,Fora,3
TKT-00280,SHP-00343,2026-07-31 00:03:41.186689648,Centro-Oeste,Reentrega,Média,1.07,41.57,8,Dentro,2
TKT-00281,SHP-00237,2026-07-07 19:26:06.352499145,Sul,Reembolso,Baixa,12.29,27.29,16,Dentro,4
TKT-00282,SHP-00083,2026-07-24 17:39:40.504405157,Sul,Onde está meu pedido?,Baixa,7.9,34.82,16,Dentro,4
TKT-00283,SHP-00772,2026-07-01 02:44:27.261780050,Sudeste,Reentrega,Média,6.65,26.27,8,Dentro,5
TKT-00284,SHP-00709,2026-06-21 17:13:44.465403859,Sudeste,Avaria,Média,10.12,39.21,8,Fora,1
TKT-00285,SHP-00189,2026-07-04 15:20:12.144099800,Sul,Atraso,Média,9.6,15.99,8,Fora,3
TKT-00286,SHP-00206,2026-07-15 12:02:09.609557469,Sudeste,Atraso,Média,7.19,23.49,8,Dentro,2
TKT-00287,SHP-00821,2026-07-09 22:36:40.524754235,Sul,Onde está meu pedido?,Média,11.83,25.32,8,Fora,4
TKT-00288,SHP-00532,2026-07-26 20:00:58.205258026,Sul,Endereço,Média,13.49,18.86,8,Fora,4
TKT-00289,SHP-00380,2026-07-07 02:23:12.770576074,Centro-Oeste,Reentrega,Média,3.73,45.21,8,Dentro,4
TKT-00290,SHP-00302,2026-06-29 06:00:50.523853044,Sudeste,Onde está meu pedido?,Baixa,1.96,22.09,16,Dentro,3
TKT-00291,SHP-00272,2026-07-10 03:20:09.530487012,Centro-Oeste,Atraso,Média,5.54,17.91,8,Dentro,5
TKT-00292,SHP-00411,2026-06-02 18:38:23.737401993,Sudeste,Avaria,Média,8.2,25.76,8,Fora,2
TKT-00293,SHP-00005,2026-06-23 09:44:40.002431839,Sul,Reentrega,Média,11.73,31.09,8,Fora,3
TKT-00294,SHP-00364,2026-07-27 22:11:59.144359397,Sul,Reentrega,Alta,0.2,31.0,4,Dentro,3
TKT-00295,SHP-00180,2026-07-16 23:54:38.753805299,Sul,Atraso,Média,9.72,19.0,8,Fora,3
TKT-00296,SHP-00180,2026-07-16 18:44:11.221646569,Sul,Avaria,Média,3.98,39.07,8,Dentro,1
TKT-00297,SHP-00738,2026-07-21 07:04:38.972636156,Sul,Onde está meu pedido?,Média,5.85,44.95,8,Dentro,5
TKT-00298,SHP-00107,2026-07-27 12:38:24.334911755,Centro-Oeste,Onde está meu pedido?,Média,10.65,40.32,8,Fora,2
TKT-00299,SHP-00553,2026-06-22 17:52:26.922993660,Nordeste,Reembolso,Baixa,2.48,41.47,16,Dentro,1
TKT-00300,SHP-00279,2026-08-01 03:08:56.896129558,Centro-Oeste,Endereço,Média,15.81,18.78,8,Fora,4
TKT-00301,SHP-00534,2026-07-19 16:37:09.735407954,Centro-Oeste,Avaria,Baixa,5.0,48.38,16,Dentro,3
TKT-00302,SHP-00631,2026-07-31 14:50:08.992414376,Sudeste,Atraso,Alta,3.57,0.5,4,Dentro,5
TKT-00303,SHP-00753,2026-07-10 16:07:12.844420692,Nordeste,Onde está meu pedido?,Alta,0.2,0.5,4,Dentro,4
TKT-00304,SHP-00522,2026-06-29 10:40:07.193626013,Centro-Oeste,Reentrega,Alta,2.43,15.82,4,Dentro,5
TKT-00305,SHP-00261,2026-07-21 09:44:48.046930572,Sudeste,Reembolso,Média,7.99,65.96,8,Dentro,3
TKT-00306,SHP-00560,2026-06-28 10:19:00.123608070,Sudeste,Atraso,Média,9.29,12.12,8,Fora,4
TKT-00307,SHP-00270,2026-06-12 00:33:28.124088791,Sudeste,Onde está meu pedido?,Média,10.92,34.86,8,Fora,4
TKT-00308,SHP-00842,2026-06-15 20:20:45.439981445,Sul,Reembolso,Média,7.25,28.48,8,Dentro,4
TKT-00309,SHP-00340,2026-06-24 09:36:41.725707468,Sudeste,Reentrega,Média,7.11,19.34,8,Dentro,5
TKT-00310,SHP-00002,2026-07-14 14:43:17.621195679,Nordeste,Reentrega,Média,5.12,39.48,8,Dentro,4
TKT-00311,SHP-00521,2026-08-02 07:44:14.317990056,Sudeste,Onde está meu pedido?,Média,7.1,30.76,8,Dentro,5
TKT-00312,SHP-00696,2026-07-09 07:13:21.880164365,Sudeste,Onde está meu pedido?,Média,7.46,24.65,8,Dentro,4
TKT-00313,SHP-00603,2026-07-14 17:57:32.589369567,Sudeste,Avaria,Média,12.53,34.9,8,Fora,3
TKT-00314,SHP-00688,2026-06-18 05:09:53.719806206,Sul,Reembolso,Média,12.83,37.54,8,Fora,3
TKT-00315,SHP-00550,2026-07-24 12:11:44.223267854,Sul,Reentrega,Baixa,4.18,49.34,16,Dentro,4
TKT-00316,SHP-00840,2026-07-08 23:41:39.680102465,Sudeste,Reentrega,Média,9.73,34.28,8,Fora,2
TKT-00317,SHP-00043,2026-07-18 19:42:54.865321599,Nordeste,Onde está meu pedido?,Alta,9.33,15.32,4,Fora,3
TKT-00318,SHP-00626,2026-06-11 13:02:33.222303993,Nordeste,Reentrega,Média,12.09,24.14,8,Fora,4
TKT-00319,SHP-00190,2026-07-31 11:36:12.760531947,Centro-Oeste,Reentrega,Média,6.54,14.66,8,Dentro,4
TKT-00320,SHP-00831,2026-07-02 11:14:47.433648269,Nordeste,Endereço,Baixa,8.35,39.86,16,Dentro,3
TKT-00321,SHP-00482,2026-07-07 04:13:28.533967891,Nordeste,Avaria,Média,6.36,32.65,8,Dentro,4
TKT-00322,SHP-00053,2026-07-17 11:44:17.136862052,Sul,Avaria,Baixa,3.84,35.7,16,Dentro,5
TKT-00323,SHP-00288,2026-06-12 06:50:40.414665143,Centro-Oeste,Reentrega,Média,0.55,19.7,8,Dentro,5
TKT-00324,SHP-00896,2026-06-24 13:26:07.216997183,Sudeste,Reembolso,Alta,8.28,31.48,4,Fora,4
TKT-00325,SHP-00706,2026-07-12 02:31:29.705559365,Centro-Oeste,Avaria,Baixa,2.66,13.44,16,Dentro,4
TKT-00326,SHP-00004,2026-07-31 12:09:56.075513882,Sul,Reembolso,Média,3.0,21.28,8,Dentro,4
TKT-00327,SHP-00559,2026-06-10 04:32:42.833089054,Sul,Reentrega,Alta,5.81,26.59,4,Fora,5
TKT-00328,SHP-00359,2026-06-20 08:40:34.744748449,Centro-Oeste,Onde está meu pedido?,Baixa,9.21,31.37,16,Dentro,3
TKT-00329,SHP-00139,2026-07-03 22:11:50.198479260,Nordeste,Reembolso,Baixa,1.27,31.06,16,Dentro,4
TKT-00330,SHP-00857,2026-06-09 23:41:02.966584206,Sul,Avaria,Média,3.32,26.09,8,Dentro,1
TKT-00331,SHP-00644,2026-06-05 08:26:46.015354975,Sudeste,Atraso,Alta,2.07,0.5,4,Dentro,5
TKT-00332,SHP-00767,2026-07-17 01:04:31.394441968,Sudeste,Endereço,Média,0.2,39.3,8,Dentro,5
TKT-00333,SHP-00601,2026-07-01 08:34:12.481517026,Centro-Oeste,Reentrega,Média,0.2,16.31,8,Dentro,3
TKT-00334,SHP-00677,2026-07-17 00:11:23.825102147,Centro-Oeste,Onde está meu pedido?,Média,6.08,13.8,8,Dentro,4
TKT-00335,SHP-00751,2026-06-25 12:17:21.922106278,Centro-Oeste,Avaria,Média,8.55,30.55,8,Fora,3
TKT-00336,SHP-00579,2026-07-10 00:57:32.425856683,Sul,Endereço,Alta,0.2,4.57,4,Dentro,5
TKT-00337,SHP-00410,2026-06-28 07:24:33.387549965,Centro-Oeste,Reembolso,Baixa,5.82,31.28,16,Dentro,4
TKT-00338,SHP-00389,2026-06-29 02:59:16.692832116,Nordeste,Avaria,Média,10.76,53.54,8,Fora,3
TKT-00339,SHP-00893,2026-06-28 22:22:55.038210514,Sul,Avaria,Média,7.3,30.61,8,Dentro,4
TKT-00340,SHP-00187,2026-06-28 14:04:37.207357682,Sul,Avaria,Baixa,7.32,13.48,16,Dentro,4
TKT-00341,SHP-00099,2026-06-23 12:35:34.188762240,Nordeste,Reembolso,Média,8.65,54.44,8,Fora,4
TKT-00342,SHP-00204,2026-07-23 05:46:28.496271404,Centro-Oeste,Reentrega,Média,14.93,20.49,8,Fora,3
TKT-00343,SHP-00422,2026-07-06 01:49:49.756503786,Sul,Onde está meu pedido?,Alta,2.51,10.25,4,Dentro,4
TKT-00344,SHP-00177,2026-07-12 12:30:47.249826804,Sul,Reentrega,Média,1.18,19.2,8,Dentro,4
TKT-00345,SHP-00601,2026-06-30 18:27:38.446368983,Centro-Oeste,Avaria,Baixa,1.67,60.24,16,Dentro,4
TKT-00346,SHP-00725,2026-07-31 00:26:00.876082533,Sudeste,Endereço,Média,15.15,5.08,8,Fora,3
TKT-00347,SHP-00319,2026-06-28 15:39:43.121879535,Nordeste,Avaria,Alta,0.2,18.46,4,Dentro,4
TKT-00348,SHP-00818,2026-06-28 19:26:53.120937550,Sudeste,Endereço,Média,13.55,22.27,8,Fora,3
TKT-00349,SHP-00055,2026-07-12 22:02:06.629733274,Nordeste,Reentrega,Baixa,17.39,39.69,16,Fora,3
TKT-00350,SHP-00197,2026-06-16 14:45:00.519101320,Sudeste,Endereço,Média,10.67,31.87,8,Fora,3
TKT-00351,SHP-00553,2026-06-22 01:40:21.647213401,Nordeste,Avaria,Média,1.0,32.51,8,Dentro,3
TKT-00352,SHP-00563,2026-06-14 08:07:57.943081962,Sudeste,Atraso,Baixa,3.88,41.68,16,Dentro,3
TKT-00353,SHP-00479,2026-06-03 09:08:53.033618267,Sul,Atraso,Média,11.89,42.61,8,Fora,2
TKT-00354,SHP-00048,2026-06-06 06:56:31.083268448,Sul,Endereço,Média,1.9,28.2,8,Dentro,4
TKT-00355,SHP-00634,2026-06-22 17:08:57.243078139,Centro-Oeste,Reembolso,Baixa,11.72,22.05,16,Dentro,2
TKT-00356,SHP-00503,2026-07-04 14:47:45.542166322,Centro-Oeste,Onde está meu pedido?,Alta,2.96,18.71,4,Dentro,3
TKT-00357,SHP-00664,2026-06-28 11:02:24.723875950,Nordeste,Reembolso,Alta,4.4,12.0,4,Fora,4
TKT-00358,SHP-00869,2026-07-09 23:46:03.924983754,Nordeste,Reentrega,Média,4.04,22.39,8,Dentro,4
TKT-00359,SHP-00039,2026-07-17 16:01:45.876617095,Sul,Endereço,Alta,6.61,34.6,4,Fora,3
TKT-00360,SHP-00354,2026-07-07 14:16:04.238822593,Centro-Oeste,Atraso,Alta,0.2,9.52,4,Dentro,4
TKT-00361,SHP-00691,2026-07-07 01:00:23.817515538,Centro-Oeste,Reembolso,Baixa,1.4,38.65,16,Dentro,4
TKT-00362,SHP-00215,2026-07-15 11:17:42.000468227,Centro-Oeste,Endereço,Média,18.82,32.52,8,Fora,4
TKT-00363,SHP-00105,2026-07-13 03:00:04.254799352,Nordeste,Avaria,Média,9.21,23.84,8,Fora,4
TKT-00364,SHP-00541,2026-07-10 18:19:05.278129490,Sul,Onde está meu pedido?,Média,2.64,46.28,8,Dentro,5
TKT-00365,SHP-00016,2026-07-19 20:09:21.121095644,Centro-Oeste,Reentrega,Média,0.2,39.04,8,Dentro,4
TKT-00366,SHP-00277,2026-06-09 07:23:30.327084065,Nordeste,Endereço,Média,8.27,12.26,8,Fora,4
TKT-00367,SHP-00645,2026-07-29 12:11:35.160126448,Nordeste,Onde está meu pedido?,Alta,0.22,36.87,4,Dentro,2
TKT-00368,SHP-00598,2026-07-24 11:51:28.790746131,Centro-Oeste,Onde está meu pedido?,Alta,4.59,8.42,4,Fora,2
TKT-00369,SHP-00721,2026-07-20 09:49:42.783385603,Sudeste,Reembolso,Média,4.76,30.11,8,Dentro,3
TKT-00370,SHP-00689,2026-07-10 14:18:55.009593932,Centro-Oeste,Endereço,Média,0.73,35.09,8,Dentro,4
TKT-00371,SHP-00051,2026-06-21 04:52:41.007367646,Sudeste,Avaria,Alta,7.63,14.2,4,Fora,4
TKT-00372,SHP-00808,2026-07-01 10:17:06.100488732,Sul,Onde está meu pedido?,Média,14.09,56.23,8,Fora,2
TKT-00373,SHP-00644,2026-06-04 15:07:19.631718407,Sudeste,Reembolso,Alta,2.21,18.54,4,Dentro,5
TKT-00374,SHP-00648,2026-06-18 14:38:11.003116184,Centro-Oeste,Atraso,Baixa,12.62,44.11,16,Dentro,3
TKT-00375,SHP-00552,2026-06-06 16:48:53.871705087,Sul,Reentrega,Alta,2.09,12.09,4,Dentro,2
TKT-00376,SHP-00300,2026-06-07 20:17:55.865087033,Sul,Onde está meu pedido?,Alta,1.49,18.91,4,Dentro,5
TKT-00377,SHP-00729,2026-07-03 13:17:58.595962978,Centro-Oeste,Avaria,Média,16.8,34.14,8,Fora,3
TKT-00378,SHP-00157,2026-07-20 11:03:18.773499173,Sul,Reembolso,Baixa,6.54,26.67,16,Dentro,1
TKT-00379,SHP-00345,2026-07-23 11:53:03.819555689,Nordeste,Endereço,Baixa,8.47,31.26,16,Dentro,4
TKT-00380,SHP-00683,2026-06-02 20:28:25.259756239,Nordeste,Onde está meu pedido?,Média,7.73,18.3,8,Dentro,3
TKT-00381,SHP-00571,2026-07-25 07:19:43.802486419,Nordeste,Onde está meu pedido?,Média,6.94,26.37,8,Dentro,4
TKT-00382,SHP-00608,2026-06-06 22:14:14.778489035,Sul,Atraso,Média,5.23,23.0,8,Dentro,4
TKT-00383,SHP-00887,2026-07-10 16:20:30.132388795,Sul,Endereço,Média,8.29,50.29,8,Fora,5
TKT-00384,SHP-00060,2026-07-21 08:37:45.511797676,Sul,Onde está meu pedido?,Baixa,7.75,29.85,16,Dentro,3
TKT-00385,SHP-00451,2026-06-27 11:40:00.343624985,Centro-Oeste,Avaria,Baixa,4.23,36.94,16,Dentro,5
TKT-00386,SHP-00615,2026-07-30 14:20:59.538394935,Nordeste,Onde está meu pedido?,Alta,4.15,11.98,4,Fora,3
TKT-00387,SHP-00462,2026-07-14 12:44:39.882765780,Nordeste,Avaria,Alta,8.72,13.45,4,Fora,4
TKT-00388,SHP-00476,2026-06-15 07:35:30.975183537,Centro-Oeste,Atraso,Baixa,7.58,32.07,16,Dentro,3
TKT-00389,SHP-00048,2026-06-06 12:19:10.714995455,Sul,Reembolso,Média,7.73,19.38,8,Dentro,3
TKT-00390,SHP-00376,2026-07-21 14:28:19.746957047,Sudeste,Atraso,Média,11.17,49.76,8,Fora,3
TKT-00391,SHP-00457,2026-06-19 14:13:39.158237032,Nordeste,Reentrega,Baixa,8.72,13.19,16,Dentro,3
TKT-00392,SHP-00251,2026-06-10 05:56:37.643906218,Centro-Oeste,Avaria,Média,10.66,24.57,8,Fora,3
TKT-00393,SHP-00479,2026-06-02 17:37:38.484643197,Sul,Endereço,Baixa,3.77,11.83,16,Dentro,3
TKT-00394,SHP-00566,2026-07-09 17:08:28.342170154,Nordeste,Avaria,Média,8.23,20.15,8,Fora,3
TKT-00395,SHP-00625,2026-06-21 11:20:16.175588297,Sul,Avaria,Baixa,7.61,33.83,16,Dentro,5
TKT-00396,SHP-00900,2026-06-23 16:54:07.084277737,Sudeste,Reentrega,Baixa,7.0,34.74,16,Dentro,2
TKT-00397,SHP-00791,2026-07-02 13:01:17.919969229,Nordeste,Reentrega,Média,7.42,39.67,8,Dentro,5
TKT-00398,SHP-00590,2026-07-22 00:11:34.031437452,Nordeste,Reembolso,Alta,14.79,2.16,4,Fora,4
TKT-00399,SHP-00331,2026-06-07 02:06:36.098478675,Sudeste,Avaria,Média,10.2,2.91,8,Fora,4
TKT-00400,SHP-00373,2026-07-28 19:06:27.924628017,Sul,Reembolso,Média,8.53,22.67,8,Fora,3
TKT-00401,SHP-00130,2026-06-18 01:34:20.334684348,Sul,Onde está meu pedido?,Média,7.27,27.66,8,Dentro,3
TKT-00402,SHP-00272,2026-07-09 20:53:16.493983077,Centro-Oeste,Reentrega,Baixa,7.93,63.94,16,Dentro,5
TKT-00403,SHP-00404,2026-07-02 03:04:25.413343500,Sul,Reentrega,Baixa,7.75,42.12,16,Dentro,3
TKT-00404,SHP-00138,2026-07-26 11:04:44.707001976,Sudeste,Atraso,Alta,0.2,33.45,4,Dentro,5
TKT-00405,SHP-00416,2026-07-30 06:43:05.398663764,Nordeste,Reentrega,Baixa,5.28,22.57,16,Dentro,1
TKT-00406,SHP-00830,2026-06-21 23:55:16.111714656,Centro-Oeste,Endereço,Baixa,9.32,40.19,16,Dentro,4
TKT-00407,SHP-00891,2026-07-23 03:38:09.399816524,Centro-Oeste,Atraso,Alta,10.0,13.21,4,Fora,2
TKT-00408,SHP-00810,2026-07-16 21:33:15.509968232,Nordeste,Atraso,Baixa,6.57,39.5,16,Dentro,3
TKT-00409,SHP-00070,2026-07-22 02:07:55.016843243,Sudeste,Onde está meu pedido?,Alta,3.79,10.79,4,Dentro,5
TKT-00410,SHP-00698,2026-06-06 11:03:18.681177772,Sul,Reembolso,Média,7.86,42.46,8,Dentro,4
TKT-00411,SHP-00676,2026-07-24 02:18:28.592166752,Centro-Oeste,Avaria,Média,8.17,30.41,8,Fora,3
TKT-00412,SHP-00065,2026-07-27 06:07:18.379717912,Sul,Onde está meu pedido?,Baixa,15.81,46.64,16,Dentro,3
TKT-00413,SHP-00713,2026-06-29 22:39:51.659639433,Centro-Oeste,Reentrega,Média,4.41,7.72,8,Dentro,5
TKT-00414,SHP-00187,2026-06-29 05:57:40.287079718,Sul,Reentrega,Média,8.37,35.26,8,Fora,3
TKT-00415,SHP-00855,2026-07-05 03:18:10.149083655,Sul,Endereço,Alta,4.07,18.55,4,Fora,3
TKT-00416,SHP-00161,2026-06-07 00:39:32.809653331,Centro-Oeste,Reembolso,Média,5.48,28.11,8,Dentro,5
TKT-00417,SHP-00027,2026-07-04 08:14:36.191929414,Centro-Oeste,Onde está meu pedido?,Alta,0.2,25.67,4,Dentro,4
TKT-00418,SHP-00768,2026-06-29 09:19:10.606424814,Centro-Oeste,Reembolso,Alta,7.68,17.25,4,Fora,3
TKT-00419,SHP-00017,2026-06-22 14:21:55.844337228,Sul,Reembolso,Média,4.55,28.35,8,Dentro,5
TKT-00420,SHP-00204,2026-07-23 23:26:30.166206103,Centro-Oeste,Reentrega,Baixa,4.57,15.33,16,Dentro,3
